graph,partitioner,super_graph_upward_arc_count,upper_tree_width_bound,elimination_tree_height,average_elimination_tree_depth,maximum_arcs_in_search_space,average_arcs_in_search_space,number_of_triangles_in_super_graph,order_running_time,median_customization_time,avg_query_time,graph_id,partitioner_id
NY,flowcutter20,1198512,86,221,132.826,10933,4090.29,6696378,34.421,24.752,9.43157,0,0
NY,hc2l0.3,1329843,102,256,145.035,13726,5119.06,8624019,0.406,28.388,10.7009,0,1
BAY,flowcutter20,999172,76,176,93.2087,5948,1756.29,3449857,20.047,18.656,5.62237,1,0
BAY,hc2l0.3,1124657,86,243,122.095,10216,2926.17,4636788,0.544,22.317,8.01245,1,1
COL,flowcutter20,1251629,87,262,122.449,13678,3839.49,4361079,32.191,22.792,8.36177,2,0
COL,hc2l0.3,1397000,108,327,134.385,20392,4764.35,5784482,0.735,26.651,10.4106,2,1
FLA,flowcutter20,3245489,64,220,122.698,7387,2821.44,9251485,93.357,59.364,8.32802,3,0
FLA,hc2l0.3,3610204,74,277,137.813,11723,3841.11,12102597,2.089,68.7,10.0196,3,1
NW,flowcutter20,3168395,82,240,135.24,9441,3538.31,8869096,71.463,55.307,9.46601,4,0
NW,hc2l0.3,3525246,92,307,140.372,14325,3947.95,11489627,2.25,64.952,10.2878,4,1
NE,flowcutter20,5333322,135,325,220.381,20214,10517.1,25147021,232.22,105.425,20.334,5,0
NE,hc2l0.3,5914175,142,388,235.212,24129,11650.0,31223620,3.607,120.972,22.3631,5,1
CAL,flowcutter20,5798657,126,373,168.791,23567,5513.62,21665015,204.39,108.913,13.2417,6,0
CAL,hc2l0.3,6505430,147,441,192.834,32469,7468.69,28720891,4.311,127.72,16.7803,6,1
LKA,flowcutter20,9641111,252,492,317.001,63485,23722.2,66818117,513.292,204.266,37.2541,7,0
LKA,hc2l0.3,10693957,245,596,353.529,81289,30545.5,81750974,8.376,234.003,45.0909,7,1
E,flowcutter20,10937046,149,425,270.105,36400,15986.9,47568461,577.762,209.222,27.9016,8,0
E,hc2l0.3,12151346,169,526,311.876,46018,21488.1,59743497,13.092,244.787,35.1524,8,1
W,flowcutter20,18518221,156,475,257.479,39823,13303.7,68920361,897.981,347.372,24.9055,9,0
W,hc2l0.3,20678365,172,591,290.819,48384,16991.5,90259472,21.143,404.271,30.7452,9,1
CTR,flowcutter20,44615393,311,789,461.719,132497,45573.8,298799599,3401.641,962.44,63.4361,10,0
CTR,hc2l0.3,49578573,441,975,530.998,193397,62383.8,378666358,88.907,1104.34,86.3195,10,1
USA,flowcutter20,74373066,305,865,490.947,153893,52785.7,441351602,6459.81,1545.94,71.4648,11,0
USA,hc2l0.3,82819646,377,1135,565.163,224292,71761.9,573095801,134.737,1831.16,92.8578,11,1
EUR,flowcutter20,58896352,449,1135,642.303,269601,110834.0,467254940,8940.625,1278.16,128.278,12,0
EUR,hc2l0.3,66671979,477,1363,810.133,347101,155729.0,623251186,189.944,1504.77,171.294,12,1
