partitioner,graph,order_running_time_sec
flowcutter20,NY,34.421
flowcutter20,BAY,20.047
flowcutter20,COL,32.191
flowcutter20,FLA,93.357
flowcutter20,NW,71.463
flowcutter20,NE,232.22
flowcutter20,CAL,204.39
flowcutter20,LKA,513.292
flowcutter20,E,577.762
flowcutter20,W,897.981
flowcutter20,CTR,3401.641
flowcutter20,USA,6459.81
flowcutter20,EUR,8940.625
hc2l0.3,NY,0.406
hc2l0.3,BAY,0.544
hc2l0.3,COL,0.735
hc2l0.3,FLA,2.089
hc2l0.3,NW,2.250
hc2l0.3,NE,3.607
hc2l0.3,CAL,4.311
hc2l0.3,LKA,8.376
hc2l0.3,E,13.092
hc2l0.3,W,21.143
hc2l0.3,CTR,88.907
hc2l0.3,USA,134.737
hc2l0.3,EUR,189.944
